"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	"Opium"	"T40.0"	0	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Heroin"	"T40.1"	140	4887871	2.9
	"Alabama"	"01"	"2018"	"2018"	"Other opioids"	"T40.2"	129	4887871	2.6
	"Alabama"	"01"	"2018"	"2018"	"Methadone"	"T40.3"	35	4887871	0.7
	"Alabama"	"01"	"2018"	"2018"	"Other synthetic narcotics"	"T40.4"	150	4887871	3.1
	"Alabama"	"01"	"2019"	"2019"	"Opium"	"T40.0"	0	4903185	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"Heroin"	"T40.1"	143	4903185	2.9
	"Alabama"	"01"	"2019"	"2019"	"Other opioids"	"T40.2"	142	4903185	2.9
	"Alabama"	"01"	"2019"	"2019"	"Methadone"	"T40.3"	33	4903185	0.7
	"Alabama"	"01"	"2019"	"2019"	"Other synthetic narcotics"	"T40.4"	215	4903185	4.4
	"Alabama"	"01"	"2020"	"2020"	"Opium"	"T40.0"	0	4921532	Unreliable
	"Alabama"	"01"	"2020"	"2020"	"Heroin"	"T40.1"	138	4921532	2.8
	"Alabama"	"01"	"2020"	"2020"	"Other opioids"	"T40.2"	126	4921532	2.6
	"Alabama"	"01"	"2020"	"2020"	"Methadone"	"T40.3"	27	4921532	0.5
	"Alabama"	"01"	"2020"	"2020"	"Other synthetic narcotics"	"T40.4"	450	4921532	9.1
	"Alabama"	"01"	"2021"	"2021"	"Opium"	"T40.0"	0	5039877	Unreliable
	"Alabama"	"01"	"2021"	"2021"	"Heroin"	"T40.1"	142	5039877	2.8
	"Alabama"	"01"	"2021"	"2021"	"Other opioids"	"T40.2"	155	5039877	3.1
	"Alabama"	"01"	"2021"	"2021"	"Methadone"	"T40.3"	36	5039877	0.7
	"Alabama"	"01"	"2021"	"2021"	"Other synthetic narcotics"	"T40.4"	860	5039877	17.1
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Opium"	"T40.0"	0	5039877	Unreliable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Heroin"	"T40.1"	47	5039877	0.9
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Other opioids"	"T40.2"	156	5039877	3.1
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Methadone"	"T40.3"	32	5039877	0.6
	"Alabama"	"01"	"2022 (provisional)"	"2022"	"Other synthetic narcotics"	"T40.4"	1000	5039877	19.8
	"Alabama"	"01"	"2023 (provisional and partial)"	"2023"	"Opium"	"T40.0"	0	5039877	Unreliable
	"Alabama"	"01"	"2023 (provisional and partial)"	"2023"	"Heroin"	"T40.1"	31	5039877	0.6
	"Alabama"	"01"	"2023 (provisional and partial)"	"2023"	"Other opioids"	"T40.2"	93	5039877	1.8
	"Alabama"	"01"	"2023 (provisional and partial)"	"2023"	"Methadone"	"T40.3"	12	5039877	Unreliable
	"Alabama"	"01"	"2023 (provisional and partial)"	"2023"	"Other synthetic narcotics"	"T40.4"	660	5039877	13.1
	"Alaska"	"02"	"2018"	"2018"	"Opium"	"T40.0"	0	737438	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Heroin"	"T40.1"	32	737438	4.3
	"Alaska"	"02"	"2018"	"2018"	"Other opioids"	"T40.2"	41	737438	5.6
	"Alaska"	"02"	"2018"	"2018"	"Methadone"	"T40.3"	13	737438	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Other synthetic narcotics"	"T40.4"	21	737438	2.8
	"Alaska"	"02"	"2019"	"2019"	"Opium"	"T40.0"	0	731545	Unreliable
	"Alaska"	"02"	"2019"	"2019"	"Heroin"	"T40.1"	47	731545	6.4
	"Alaska"	"02"	"2019"	"2019"	"Other opioids"	"T40.2"	51	731545	7.0
	"Alaska"	"02"	"2019"	"2019"	"Methadone"	"T40.3"	14	731545	Unreliable
	"Alaska"	"02"	"2019"	"2019"	"Other synthetic narcotics"	"T40.4"	30	731545	4.1
	"Alaska"	"02"	"2020"	"2020"	"Opium"	"T40.0"	0	731158	Unreliable
	"Alaska"	"02"	"2020"	"2020"	"Heroin"	"T40.1"	37	731158	5.1
	"Alaska"	"02"	"2020"	"2020"	"Other opioids"	"T40.2"	45	731158	6.2
	"Alaska"	"02"	"2020"	"2020"	"Methadone"	"T40.3"	Suppressed	731158	Suppressed
	"Alaska"	"02"	"2020"	"2020"	"Other synthetic narcotics"	"T40.4"	72	731158	9.8
	"Alaska"	"02"	"2021"	"2021"	"Opium"	"T40.0"	0	732673	Unreliable
	"Alaska"	"02"	"2021"	"2021"	"Heroin"	"T40.1"	69	732673	9.4
	"Alaska"	"02"	"2021"	"2021"	"Other opioids"	"T40.2"	79	732673	10.8
	"Alaska"	"02"	"2021"	"2021"	"Methadone"	"T40.3"	14	732673	Unreliable
	"Alaska"	"02"	"2021"	"2021"	"Other synthetic narcotics"	"T40.4"	164	732673	22.4
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Opium"	"T40.0"	0	732673	Unreliable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Heroin"	"T40.1"	42	732673	5.7
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Other opioids"	"T40.2"	55	732673	7.5
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Methadone"	"T40.3"	10	732673	Unreliable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	"Other synthetic narcotics"	"T40.4"	171	732673	23.3
	"Alaska"	"02"	"2023 (provisional and partial)"	"2023"	"Opium"	"T40.0"	0	732673	Unreliable
	"Alaska"	"02"	"2023 (provisional and partial)"	"2023"	"Heroin"	"T40.1"	16	732673	Unreliable
	"Alaska"	"02"	"2023 (provisional and partial)"	"2023"	"Other opioids"	"T40.2"	30	732673	4.1
	"Alaska"	"02"	"2023 (provisional and partial)"	"2023"	"Methadone"	"T40.3"	Suppressed	732673	Suppressed
	"Alaska"	"02"	"2023 (provisional and partial)"	"2023"	"Other synthetic narcotics"	"T40.4"	164	732673	22.4
	"Arizona"	"04"	"2018"	"2018"	"Opium"	"T40.0"	Suppressed	7171646	Suppressed
	"Arizona"	"04"	"2018"	"2018"	"Heroin"	"T40.1"	362	7171646	5.0
	"Arizona"	"04"	"2018"	"2018"	"Other opioids"	"T40.2"	336	7171646	4.7
	"Arizona"	"04"	"2018"	"2018"	"Methadone"	"T40.3"	67	7171646	0.9
	"Arizona"	"04"	"2018"	"2018"	"Other synthetic narcotics"	"T40.4"	533	7171646	7.4
	"Arizona"	"04"	"2019"	"2019"	"Opium"	"T40.0"	0	7278717	Unreliable
	"Arizona"	"04"	"2019"	"2019"	"Heroin"	"T40.1"	278	7278717	3.8
	"Arizona"	"04"	"2019"	"2019"	"Other opioids"	"T40.2"	323	7278717	4.4
	"Arizona"	"04"	"2019"	"2019"	"Methadone"	"T40.3"	77	7278717	1.1
	"Arizona"	"04"	"2019"	"2019"	"Other synthetic narcotics"	"T40.4"	806	7278717	11.1
	"Arizona"	"04"	"2020"	"2020"	"Opium"	"T40.0"	0	7421401	Unreliable
	"Arizona"	"04"	"2020"	"2020"	"Heroin"	"T40.1"	225	7421401	3.0
	"Arizona"	"04"	"2020"	"2020"	"Other opioids"	"T40.2"	342	7421401	4.6
	"Arizona"	"04"	"2020"	"2020"	"Methadone"	"T40.3"	86	7421401	1.2
	"Arizona"	"04"	"2020"	"2020"	"Other synthetic narcotics"	"T40.4"	1516	7421401	20.4
	"Arizona"	"04"	"2021"	"2021"	"Opium"	"T40.0"	0	7276316	Unreliable
	"Arizona"	"04"	"2021"	"2021"	"Heroin"	"T40.1"	116	7276316	1.6
	"Arizona"	"04"	"2021"	"2021"	"Other opioids"	"T40.2"	279	7276316	3.8
	"Arizona"	"04"	"2021"	"2021"	"Methadone"	"T40.3"	85	7276316	1.2
	"Arizona"	"04"	"2021"	"2021"	"Other synthetic narcotics"	"T40.4"	1794	7276316	24.7
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Opium"	"T40.0"	0	7276316	Unreliable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Heroin"	"T40.1"	59	7276316	0.8
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Other opioids"	"T40.2"	231	7276316	3.2
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Methadone"	"T40.3"	89	7276316	1.2
	"Arizona"	"04"	"2022 (provisional)"	"2022"	"Other synthetic narcotics"	"T40.4"	1795	7276316	24.7
	"Arizona"	"04"	"2023 (provisional and partial)"	"2023"	"Opium"	"T40.0"	0	7276316	Unreliable
	"Arizona"	"04"	"2023 (provisional and partial)"	"2023"	"Heroin"	"T40.1"	34	7276316	0.5
	"Arizona"	"04"	"2023 (provisional and partial)"	"2023"	"Other opioids"	"T40.2"	149	7276316	2.0
	"Arizona"	"04"	"2023 (provisional and partial)"	"2023"	"Methadone"	"T40.3"	60	7276316	0.8
	"Arizona"	"04"	"2023 (provisional and partial)"	"2023"	"Other synthetic narcotics"	"T40.4"	1283	7276316	17.6
	"Arkansas"	"05"	"2018"	"2018"	"Opium"	"T40.0"	0	3013825	Unreliable
	"Arkansas"	"05"	"2018"	"2018"	"Heroin"	"T40.1"	19	3013825	Unreliable
	"Arkansas"	"05"	"2018"	"2018"	"Other opioids"	"T40.2"	111	3013825	3.7
	"Arkansas"	"05"	"2018"	"2018"	"Methadone"	"T40.3"	17	3013825	Unreliable
	"Arkansas"	"05"	"2018"	"2018"	"Other synthetic narcotics"	"T40.4"	96	3013825	3.2
	"Arkansas"	"05"	"2019"	"2019"	"Opium"	"T40.0"	0	3017804	Unreliable
	"Arkansas"	"05"	"2019"	"2019"	"Heroin"	"T40.1"	33	3017804	1.1
	"Arkansas"	"05"	"2019"	"2019"	"Other opioids"	"T40.2"	95	3017804	3.1
	"Arkansas"	"05"	"2019"	"2019"	"Methadone"	"T40.3"	17	3017804	Unreliable
	"Arkansas"	"05"	"2019"	"2019"	"Other synthetic narcotics"	"T40.4"	117	3017804	3.9
	"Arkansas"	"05"	"2020"	"2020"	"Opium"	"T40.0"	0	3030522	Unreliable
	"Arkansas"	"05"	"2020"	"2020"	"Heroin"	"T40.1"	21	3030522	0.7
	"Arkansas"	"05"	"2020"	"2020"	"Other opioids"	"T40.2"	99	3030522	3.3
	"Arkansas"	"05"	"2020"	"2020"	"Methadone"	"T40.3"	16	3030522	Unreliable
